,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
304,Jérôme Onguéné,€ 10.385,€ 540.000,Jun 30 2027,Eintracht Frankfurt,26,D,CB,Cameroon
305,Thomas Dähne,€ 10.000,€ 520.000,Jun 30 2026,Holstein Kiel,30,K,GK,Germany
306,Lucas Höler,€ 10.000,€ 520.000,Jun 30 2025,Freiburg,29,F,CF,Germany
307,Jonas Föhrenbach,€ 10.000,€ 520.000,Jun 30 2027,Heidenheim,28,D,LB,Germany
308,Benedict Hollerbach,€ 9.615,€ 500.000,Jun 30 2025,Union Berlin,23,F,CF,Germany
309,Leopold Zingerle,€ 9.615,€ 500.000,Jun 30 2025,Leipzig,30,K,GK,Germany
310,Lukas Daschner,€ 9.615,€ 500.000,Jun 30 2026,Bochum,25,F,AM,Germany
311,Benedikt Gimber,€ 9.615,€ 500.000,Jun 30 2025,Heidenheim,27,D,CB,Germany
312,Tim Breithaupt,€ 9.615,€ 500.000,Jun 30 2028,Augsburg,22,M,DM,Germany
313,Grant-Leon Ranos,€ 9.615,€ 500.000,Jun 30 2027,Monchengladbach,20,F,CF,Armenia
314,Florian Müller,€ 9.615,€ 500.000,Jun 30 2025,Freiburg,26,K,GK,Germany
315,Dzenan Pejcinovic,€ 9.231,€ 480.000,Jun 30 2025,Wolfsburg,19,F,CF,Germany
316,Faride Alidou,€ 9.231,€ 480.000,Jun 30 2026,Eintracht Frankfurt,22,F,LW,Germany
317,Aurélio Buta,€ 9.231,€ 480.000,Jun 30 2026,Eintracht Frankfurt,27,D,RB,Portugal
318,Manuel Gulde,€ 9.231,€ 480.000,Jun 30 2025,Freiburg,33,D,CB,Germany
319,Jan Schöppner,€ 9.231,€ 480.000,Jun 30 2025,Heidenheim,25,M,CM,Germany
320,Alexander Bernhardsson,€ 9.231,€ 480.000,Jun 30 2027,Holstein Kiel,25,F,RW,Sweden
321,Danel Sinani,€ 9.231,€ 480.000,Jun 30 2025,St Pauli,27,F,RW,Luxembourg
322,Erik Ahlstrand,€ 9.231,€ 480.000,Jun 30 2025,St Pauli,22,M,CM,Sweden
323,Muhammed Damar,€ 9.231,€ 480.000,Jun 30 2026,Hoffenheim,20,F,AM,Germany
324,Tobias Sippel,€ 9.038,€ 470.000,Jun 30 2025,Monchengladbach,36,K,GK,Germany
325,Atakan Karazor,€ 9.038,€ 470.000,Jun 30 2028,Stuttgart,27,M,DM,Germany
326,Patrick Erras,€ 9.038,€ 470.000,Jun 30 2026,Holstein Kiel,29,M,DM,Germany
327,Armindo Sieb,€ 9.038,€ 470.000,Jun 30 2026,Mainz,21,F,SS,Germany
328,Julián Malatini,€ 8.654,€ 450.000,Jun 30 2025,Werder Bremen,23,D,CB,Argentina
329,Moritz-Broni Kwarteng,€ 8.654,€ 450.000,Jun 30 2027,Bochum,26,F,AM,Germany
330,Shuto Machino,€ 8.077,€ 420.000,Jun 30 2027,Holstein Kiel,24,F,CF,Japan
331,Tim Skarke,€ 8.077,€ 420.000,Jun 30 2025,Union Berlin,27,F,RW,Germany
332,Paul Jaeckel,€ 8.077,€ 420.000,Jun 30 2025,Union Berlin,25,D,CB,Germany
333,Sascha Burchert,€ 8.077,€ 420.000,Jun 30 2025,St Pauli,34,K,GK,Germany
334,Norman Theuerkauf,€ 8.077,€ 420.000,Jun 30 2025,Heidenheim,37,D,LB,Germany
335,Lewis Holtby,€ 8.077,€ 420.000,Jun 30 2025,Holstein Kiel,33,M,CM,Germany
336,Lukas Ullrich,€ 7.692,€ 400.000,Jun 30 2027,Monchengladbach,20,D,LB,Germany
337,Lukas Kübler,€ 7.500,€ 390.000,Jun 30 2025,Freiburg,31,D,RB,Germany
338,Lasse Rieß,€ 7.308,€ 380.000,Jun 30 2027,Mainz,22,K,GK,Germany
339,Manolis Saliakas,€ 7.308,€ 380.000,Jun 30 2025,St Pauli,27,D,RB,Greece
340,Luca Philipp,€ 7.308,€ 380.000,Jun 30 2025,Hoffenheim,23,K,GK,Germany
341,Noah Loosli,€ 7.115,€ 370.000,Jun 30 2026,Bochum,27,D,CB,Switzerland
342,Jan Olschowsky,€ 6.923,€ 360.000,Jun 30 2027,Monchengladbach,22,K,GK,Germany
343,Finn Ole Becker,€ 6.923,€ 360.000,Jun 30 2026,Hoffenheim,24,M,CM,Germany
344,Romano Schmid,€ 6.923,€ 360.000,Jun 30 2025,Werder Bremen,24,F,AM,Austria
345,Nelson Weiper,€ 6.923,€ 360.000,Jun 30 2025,Mainz,19,F,CF,Germany
346,Kwasi Okyere Wriedt,€ 6.923,€ 360.000,Jun 30 2025,Holstein Kiel,29,F,CF,Ghana
347,Yvandro Borges Sanches,€ 6.923,€ 360.000,Jun 30 2026,Monchengladbach,20,F,LW,Luxembourg
348,Colin Kleine-Bekel,€ 6.923,€ 360.000,Jun 30 2025,Holstein Kiel,21,D,CB,Germany
349,Daniel-Kofi Kyereh,€ 6.923,€ 360.000,Jun 30 2025,Freiburg,28,F,AM,Ghana
350,Kauã Santos,€ 6.731,€ 350.000,Jun 30 2028,Eintracht Frankfurt,21,K,GK,Brazil
351,Jens Grahl,€ 6.731,€ 350.000,Jun 30 2026,Eintracht Frankfurt,35,K,GK,Germany
352,Isak Hansen-Aarøen,€ 6.731,€ 350.000,Jun 30 2027,Werder Bremen,19,F,AM,Norway
353,Jonas Sterner,€ 6.538,€ 340.000,Jun 30 2026,Holstein Kiel,22,M,RM,Germany
354,Diogo Leite,€ 6.538,€ 340.000,Jun 30 2025,Union Berlin,25,D,CB,Portugal
355,Simon Walde,€ 6.538,€ 340.000,Jun 30 2026,Monchengladbach,19,D,RB,Germany
356,Timon Weiner,€ 6.538,€ 340.000,Jun 30 2027,Holstein Kiel,25,K,GK,Germany
357,Kiliann Sildillia,€ 6.154,€ 320.000,Jun 30 2026,Freiburg,22,D,RB,France
358,Karol Mets,€ 5.962,€ 310.000,Jun 30 2025,St Pauli,31,D,CB,Estonia
359,Wahid Faghir,€ 5.962,€ 310.000,Jun 30 2026,Stuttgart,20,F,CF,Denmark
360,Niklas Klinger,€ 5.769,€ 300.000,Jun 30 2025,Wolfsburg,28,K,GK,Germany
361,Marcel Wenig,€ 5.769,€ 300.000,Jun 30 2025,Eintracht Frankfurt,20,M,CM,Germany
362,Maximilian Bauer,€ 5.769,€ 300.000,Jun 30 2027,Augsburg,24,D,CB,Germany
363,Omar Traoré,€ 5.769,€ 300.000,Jun 30 2026,Heidenheim,26,D,RB,Germany
364,Carl Johansson,€ 5.769,€ 300.000,Jun 30 2026,Holstein Kiel,30,D,CB,Sweden
365,Elias Saad,€ 5.769,€ 300.000,Jun 30 2025,St Pauli,24,F,LW,Tunisia
366,Tom Rothe,€ 5.769,€ 300.000,Jun 30 2026,Borussia Dortmund,19,D,LB,Germany
367,Stefan Schimmer,€ 5.769,€ 300.000,Jun 30 2026,Heidenheim,30,F,CF,Germany
368,Fisnik Asllani,€ 5.769,€ 300.000,Jun 30 2026,Hoffenheim,21,F,CF,Germany
369,Jan-Niklas Beste,€ 5.577,€ 290.000,Jun 30 2025,Heidenheim,25,F,LW,Germany
370,Igor Matanovic,€ 5.385,€ 280.000,Jun 30 2029,Eintracht Frankfurt,21,F,CF,Croatia
371,David Colina,€ 5.385,€ 280.000,Jun 30 2027,Augsburg,23,D,LB,Croatia
372,Nathaniel Brown,€ 5.385,€ 280.000,Jun 30 2029,Eintracht Frankfurt,21,D,LB,Germany
373,Max Moerstedt,€ 5.385,€ 280.000,Jun 30 2027,Hoffenheim,18,F,CF,Germany
374,Fabio Chiarodia,€ 5.385,€ 280.000,Jun 30 2027,Monchengladbach,19,D,CB,Italy
375,Agon Elezi,€ 5.385,€ 280.000,Jun 30 2027,Bochum,23,M,DM,North Macedonia
376,Andreas Albers,€ 5.192,€ 270.000,Jun 30 2025,St Pauli,34,F,CF,Denmark
377,Paul Nebel,€ 5.192,€ 270.000,Jun 30 2027,Mainz,21,F,AM,Germany
378,Tim Oermann,€ 5.192,€ 270.000,Jun 30 2026,Bochum,20,D,CB,Germany
379,Vitus Eicher,€ 5.192,€ 270.000,Jun 30 2025,Heidenheim,33,K,GK,Germany
380,Marko Ivezic,€ 5.192,€ 270.000,Jun 30 2027,Holstein Kiel,22,M,DM,Serbia
381,Jackson Irvine,€ 5.000,€ 260.000,Jun 30 2025,St Pauli,31,M,CM,Australia
382,Robert Gumny,€ 4.808,€ 250.000,Jun 30 2025,Augsburg,26,D,RB,Poland
383,Julien Duranville,€ 4.615,€ 240.000,Jun 30 2025,Borussia Dortmund,18,F,RW,Belgium
384,Nicolai Remberg,€ 4.615,€ 240.000,Jun 30 2026,Holstein Kiel,24,M,CM,Germany
385,Gustavo Puerta,€ 4.615,€ 240.000,Jun 30 2028,Bayer Leverkusen,20,M,CM,Colombia
386,Lasse Rosenboom,€ 4.615,€ 240.000,Jun 30 2026,Holstein Kiel,22,D,RB,Germany
387,Marcel Lotka,€ 4.615,€ 240.000,Jun 30 2025,Borussia Dortmund,23,K,GK,Germany
388,Daniel Batz,€ 4.231,€ 220.000,Jun 30 2025,Mainz,33,K,GK,Germany
389,David Mamutovic,€ 3.846,€ 200.000,Jun 30 2025,Mainz,23,F,RW,Germany
390,Adam Dzwigala,€ 3.654,€ 190.000,Jun 30 2025,St Pauli,28,D,CB,Poland
391,Leonidas Stergiou,€ 3.654,€ 190.000,Jun 30 2028,Stuttgart,22,D,CB,Switzerland
392,Finn Porath,€ 3.654,€ 190.000,Jun 30 2026,Holstein Kiel,27,F,AM,Germany
393,Philipp Treu,€ 3.462,€ 180.000,Jun 30 2025,St Pauli,23,D,LB,Germany
394,Adrian Beck,€ 3.462,€ 180.000,Jun 30 2025,Heidenheim,27,F,AM,Germany
395,Ba-Muaka Simakala,€ 3.462,€ 180.000,Jun 30 2025,Holstein Kiel,27,F,LW,Germany
396,Niclas Thiede,€ 3.462,€ 180.000,Jun 30 2027,Bochum,25,K,GK,Germany
397,Sadik Fofana,€ 3.462,€ 180.000,Jun 30 2025,Bayer Leverkusen,21,D,CB,Togo
398,Abdoulaye Kamara,€ 3.462,€ 180.000,Jun 30 2025,Borussia Dortmund,19,M,DM,France
399,Ayman Aourir,€ 3.077,€ 160.000,Jun 30 2025,Bayer Leverkusen,19,F,AM,Morocco
400,Jordy Makengo,€ 3.077,€ 160.000,Jun 30 2025,Freiburg,22,D,LB,France
401,Davis Bautista,€ 3.077,€ 160.000,Jun 30 2028,Eintracht Frankfurt,19,D,CB,Ecuador
402,Paul Tschernuth,€ 2.885,€ 150.000,Jun 30 2025,Heidenheim,22,K,GK,Austria
403,Aljoscha Kemlein,€ 2.885,€ 150.000,Jun 30 2025,Union Berlin,19,M,DM,Germany
404,Harpreet Ghotra,€ 2.885,€ 150.000,Jun 30 2025,Eintracht Frankfurt,21,M,CM,Germany
405,Marcel Engelhardt,€ 2.885,€ 150.000,Jun 30 2025,Holstein Kiel,31,K,GK,Germany
406,Nnamdi Collins,€ 2.885,€ 150.000,Jun 30 2028,Eintracht Frankfurt,20,D,CB,Germany
407,Tarek Buchmann,€ 2.885,€ 150.000,Jun 30 2026,Bayern Munich,19,D,CB,Germany
408,Mohamed Sankoh,€ 2.885,€ 150.000,Jun 30 2026,Stuttgart,20,F,CF,Netherlands
409,Lukas Petkov,€ 2.885,€ 150.000,Jun 30 2026,Augsburg,23,F,AM,Bulgaria
410,Tom Hülsmann,€ 2.885,€ 150.000,Jun 30 2026,Bayern Munich,20,K,GK,Germany
411,Simon Simoni,€ 2.885,€ 150.000,Jun 30 2027,Eintracht Frankfurt,19,K,GK,Albania
412,Thomas Keller,€ 2.885,€ 150.000,Jun 30 2025,Heidenheim,24,D,CB,Germany
413,Leon Opitz,€ 2.692,€ 140.000,Jun 30 2025,Werder Bremen,19,M,LM,Germany
414,Shio Fukuda,€ 2.692,€ 140.000,Jun 30 2026,Monchengladbach,20,F,CF,Japan
415,Max Rosenfelder,€ 2.500,€ 130.000,Jun 30 2025,Freiburg,21,D,CB,Germany
416,Connor Metcalfe,€ 2.500,€ 130.000,Jun 30 2025,St Pauli,24,F,AM,Australia
417,Luka Janes,€ 2.308,€ 120.000,Jun 30 2025,Heidenheim,20,M,DM,Germany
418,Noah Atubolu,€ 2.308,€ 120.000,Jun 30 2025,Freiburg,22,K,GK,Germany
419,Frank Feller,€ 2.308,€ 120.000,Jun 30 2025,Heidenheim,20,K,GK,Germany
420,Tim Siersleben,€ 2.308,€ 120.000,Jun 30 2026,Heidenheim,24,D,CB,Germany
421,Kenneth Schmidt,€ 2.308,€ 120.000,Jun 30 2025,Freiburg,22,D,CB,Germany
422,Maximilian Brüll,€ 2.308,€ 120.000,Jun 30 2025,Monchengladbach,21,K,GK,Germany
423,Mohammed Tolba,€ 2.308,€ 120.000,Jun 30 2025,Bochum,19,D,CB,Germany
424,Robert Wagner,€ 2.308,€ 120.000,Jun 30 2025,St Pauli,20,M,CM,Germany
425,Bambasé Conté,€ 2.308,€ 120.000,Jun 30 2026,Hoffenheim,20,F,AM,Germany
426,Lennard Maloney,€ 2.308,€ 120.000,Jun 30 2025,Heidenheim,24,M,DM,United States
427,Arne Engels,€ 2.308,€ 120.000,Jun 30 2027,Augsburg,20,M,CM,Belgium
428,Anthony Rouault,€ 2.308,€ 120.000,Jun 30 2027,Stuttgart,23,D,CB,France
429,Seedy Jarju,€ 2.308,€ 120.000,Jun 30 2025,Heidenheim,19,D,LB,The Gambia
430,Mehdi Loune,€ 2.308,€ 120.000,Jun 30 2025,Eintracht Frankfurt,20,M,CM,Germany
431,Noah Weißhaupt,€ 2.308,€ 120.000,Jun 30 2025,Freiburg,22,F,LW,Germany
432,Madi Monamay,€ 2.308,€ 120.000,Jun 30 2025,Bayer Leverkusen,18,D,CB,Belgium
433,Tom Bischof,€ 2.308,€ 120.000,Jun 30 2025,Hoffenheim,19,F,AM,Germany
434,Dennis Seimen,€ 2.308,€ 120.000,Jun 30 2027,Stuttgart,18,K,GK,Germany
435,Moritz Broschinski,€ 2.308,€ 120.000,Jun 30 2026,Bochum,23,F,CF,Germany
436,Mert Kömür,€ 2.308,€ 120.000,Jun 30 2027,Augsburg,18,F,AM,Germany
437,Merlin Röhl,€ 2.308,€ 120.000,Jun 30 2025,Freiburg,21,M,CM,Germany
438,Marco John,€ 2.308,€ 120.000,Jun 30 2025,Hoffenheim,22,D,LB,Germany
439,Brajan Gruda,€ 2.308,€ 120.000,Jun 30 2026,Mainz,20,F,RW,Germany
440,Scott Banks,€ 2.308,€ 120.000,Jun 30 2025,St Pauli,22,F,RW,Scotland
441,Luca Günther,€ 2.115,€ 110.000,Jun 30 2025,St Pauli,22,D,RB,Germany
442,Aurel Wagbe,€ 1.923,€ 100.000,Jun 30 2026,Holstein Kiel,20,M,LM,Germany
443,Lars Ritzka,€ 1.731,€ 90.000,Jun 30 2025,St Pauli,26,D,LB,Germany
444,Abdenego Nankishi,€ 1.731,€ 90.000,Jun 30 2025,Werder Bremen,21,F,LW,Germany
445,Nico Carrera,€ 1.731,€ 90.000,Jun 30 2025,Holstein Kiel,22,D,CB,United States
446,Marco Komenda,€ 1.731,€ 90.000,Jun 30 2026,Holstein Kiel,27,D,CB,Germany
447,Kimberly Ezekwem,€ 1.731,€ 90.000,Jun 30 2025,Freiburg,23,D,LB,Germany
448,Carlo Boukhalfa,€ 1.538,€ 80.000,Jun 30 2025,St Pauli,25,M,CM,Germany
449,Sören Ahlers,€ 385,€ 20.000,Jun 30 2025,St Pauli,26,K,GK,Germany
450,Krisztián Lisztes,,,Jun 30 2029,Eintracht Frankfurt,19,F,AM,Hungary
451,Adam Aznou,,,Jun 30 2027,Bayern Munich,18,D,LB,Morocco
452,Kristijan Jakic,,,Jun 30 2028,Augsburg,27,M,DM,Croatia
453,Kofi Amoako,,,Jun 30 2026,Wolfsburg,19,M,DM,Germany
454,Kjell Wätjen,,,Jun 30 2028,Borussia Dortmund,18,M,CM,Germany
455,Kevin Stöger,,,Jun 30 2027,Monchengladbach,30,F,AM,Austria
456,Keven Schlotterbeck,,,Jun 30 2027,Augsburg,27,D,CB,Germany
457,Sirlord Conteh,,,Jun 30 2027,Heidenheim,27,F,RW,Germany
458,Soumaïla Coulibaly,,,Jun 30 2026,Borussia Dortmund,20,D,CB,France
459,Keke Topp,,,Jun 30 2028,Werder Bremen,20,F,CF,Germany
460,Kamil Grabara,,,Jun 30 2025,Wolfsburg,25,K,GK,Poland
461,Stefan Drljaca,,,Jun 30 2027,Stuttgart,25,K,GK,Germany
462,Justin Diehl,,,Jun 30 2029,Stuttgart,19,F,LW,Germany
463,Junior Awusi,,,Jun 30 2026,Eintracht Frankfurt,18,F,LW,Spain
464,Noel Aséko Nkili,,,Jun 30 2026,Bayern Munich,18,M,DM,Germany
465,Julian Chabot,,,Jun 30 2028,Stuttgart,26,D,CB,Germany
466,Jordi Osei-Tutu,,,Jun 30 2025,Bochum,25,D,RB,England
467,Joel Imasuen,,,Jun 30 2026,Werder Bremen,19,F,CF,United States
468,Jeanuël Belocian,,,Jun 30 2029,Bayer Leverkusen,19,D,CB,France
469,Jannik Huth,,,Jun 30 2025,Freiburg,30,K,GK,Germany
470,Ivan Prtajin,,,Jun 30 2027,Union Berlin,28,F,CF,Croatia
471,Iker Bravo,,,Jun 30 2025,Bayer Leverkusen,19,F,CF,Spain
472,Ibrahima Sissoko,,,Jun 30 2027,Bochum,26,M,DM,Mali
473,Hugo Siquet,,,Jun 30 2026,Freiburg,21,D,RB,Belgium
474,Tim Drexler,,,Jun 30 2028,Hoffenheim,19,D,CB,Germany
475,Tim Kleindienst,,,Jun 30 2028,Monchengladbach,28,F,CF,Germany
476,Tim Köther,,,Jun 30 2025,Heidenheim,23,D,LB,Germany
477,Hiroki Ito,,,Jun 30 2028,Bayern Munich,25,D,CB,Japan
478,Henri Koudossou,,,Jun 30 2025,Augsburg,24,D,RB,Germany
479,Gabriel Vidovic,,,Jun 30 2025,Bayern Munich,20,F,LW,Croatia
480,Fabrice Hartmann,,,Jun 30 2025,Leipzig,23,F,RW,Germany
481,Eren Dinkci,,,Jun 30 2025,Freiburg,22,F,RW,Germany
482,Dikeni Salifou,,,Jun 30 2025,Werder Bremen,21,M,CM,Togo
483,David Preu,,,Jun 30 2025,Union Berlin,19,F,LW,Germany
484,Daniel Klein,,,Jun 30 2025,Augsburg,23,K,GK,Germany
485,Christopher Negele,,,Jun 30 2025,Heidenheim,19,F,LW,Germany
486,Charles Herrmann,,,Jun 30 2028,Monchengladbach,18,F,LW,Germany
487,Can Uzun,,,Jun 30 2029,Eintracht Frankfurt,18,F,AM,Turkey
488,Ben Voll,,,Jun 30 2025,St Pauli,23,K,GK,Germany
489,Bence Dárdai,,,Jun 30 2025,Wolfsburg,18,F,AM,Germany
490,Bartosz Bialek,,,Jun 30 2025,Wolfsburg,22,F,CF,Poland
491,Assan Ouédraogo,,,Jun 30 2029,Leipzig,18,M,CM,Germany
492,Yannic Stein,,,Jun 30 2025,Union Berlin,19,K,GK,Germany
493,Yannik Keitel,,,Jun 30 2028,Stuttgart,24,M,DM,Germany
494,Andu Kelati,,,Jun 30 2028,Holstein Kiel,21,F,LW,Germany
495,Anas Alaoui,,,Jun 30 2026,Eintracht Frankfurt,18,F,CF,Morocco
496,Aleix García,,,Jun 30 2029,Bayer Leverkusen,27,M,CM,Spain
497,Patrick Drewes,,,Jun 30 2026,Bochum,31,K,GK,Germany
498,Julian Niehues,,,Jun 30 2027,Heidenheim,23,M,DM,Germany
499,Patrick Osterhage,,,Jun 30 2025,Freiburg,24,M,CM,Germany
500,Noah Fenyö,,,Jun 30 2026,Eintracht Frankfurt,18,M,DM,Hungary
501,Nikolas Veratschnig,,,Jun 30 2028,Mainz,21,D,RB,Austria
502,Paul Grave,,,Jun 30 2025,Bochum,23,K,GK,Germany
503,Niklas Jahn,,,Jun 30 2027,Bochum,19,M,DM,Germany
504,Nick Woltemade,,,Jun 30 2028,Stuttgart,22,F,SS,Germany
505,Nestory Irankunda,,,Jun 30 2028,Bayern Munich,18,F,RW,Australia
506,Nediljko Labrovic,,,Jun 30 2029,Augsburg,24,K,GK,Croatia
507,Muhammad Dahaba,,,Jun 30 2025,St Pauli,19,D,CB,Germany
508,Phil Harres,,,Jun 30 2025,Holstein Kiel,22,F,CF,Germany
509,Mio Backhaus,,,Jun 30 2025,Werder Bremen,20,K,GK,Germany
510,Mikkel Kaufmann,,,Jun 30 2028,Heidenheim,23,F,CF,Denmark
511,Philipp Sander,,,Jun 30 2028,Monchengladbach,26,M,CM,Germany
512,Ramon Hendriks,,,Jun 30 2028,Stuttgart,22,D,CB,Netherlands
513,Maximilian Breunig,,,Jun 30 2027,Heidenheim,23,F,CF,Germany
514,Max Geschwill,,,Jun 30 2025,Holstein Kiel,22,D,CB,Germany
515,Mats Pannewig,,,Jun 30 2025,Bochum,19,M,CM,Germany
516,Mathias Honsak,,,Jun 30 2027,Heidenheim,27,F,LW,Austria
517,Markus Kolke,,,Jun 30 2025,Werder Bremen,33,K,GK,Germany
518,Marius Müller,,,Jun 30 2025,Wolfsburg,30,K,GK,Germany
519,Marco Grüll,,,Jun 30 2025,Werder Bremen,25,F,LW,Austria
520,Manuel Braun,,,Jun 30 2026,Wolfsburg,19,D,LB,Germany
521,Magnus Knudsen,,,Jun 30 2025,Holstein Kiel,23,M,CM,Norway
522,Maarten Vandevoordt,,,Jun 30 2029,Leipzig,22,K,GK,Belgium
523,Lúkas Petersson,,,Jun 30 2027,Hoffenheim,20,K,GK,Iceland
524,Lucas Laux,,,Jun 30 2025,Mainz,21,D,CB,Germany
525,Luca Kerber,,,Jun 30 2027,Heidenheim,22,M,CM,Germany
526,Lovro Zvonarek,,,Jun 30 2027,Bayern Munich,19,F,AM,Croatia
527,Léo Scienza,,,Jun 30 2027,Heidenheim,25,F,LW,Brazil
528,Samuel Bamba,,,Jun 30 2027,Bochum,20,F,RW,Germany
529,Samuel Essende,,,Jun 30 2028,Augsburg,26,F,CF,Democratic Republic of the Congo
530,Leopold Querfeld,,,Jun 30 2025,Union Berlin,20,D,CB,Austria
531,Lennart Koerdt,,,Jun 30 2027,Bochum,19,F,AM,Germany
532,Laszlo Benes,,,Jun 30 2025,Union Berlin,26,M,CM,Slovakia
