,PLAYER,GROSS P/W,GROSS P/Y,CONTRACT EXP.,CLUB,AGE,POS BASIC,POS SPECIFIC,NATIONALITY
122,Mitchell Weiser,€ 38.077,€ 1.980.000,Jun 30 2025,Werder Bremen,30,D,RB,Germany
123,Edimilson Fernandes,€ 38.077,€ 1.980.000,Jun 30 2026,Mainz,28,D,CB,Switzerland
124,David Jurásek,€ 36.923,€ 1.920.000,Jun 30 2025,Hoffenheim,23,D,LB,Czech Republic
125,Kouadio Koné,€ 36.923,€ 1.920.000,Jun 30 2026,Monchengladbach,23,M,CM,France
126,Anton Stach,€ 36.538,€ 1.900.000,Jun 30 2027,Hoffenheim,25,M,CM,Germany
127,Joakim Maehle,€ 36.538,€ 1.900.000,Jun 30 2027,Wolfsburg,27,D,RB,Denmark
128,Jonathan Burkardt,€ 36.346,€ 1.890.000,Jun 30 2027,Mainz,23,F,CF,Germany
129,Enzo Millot,€ 36.346,€ 1.890.000,Jun 30 2028,Stuttgart,21,F,AM,France
130,Ivan Ordets,€ 36.346,€ 1.890.000,Jun 30 2026,Bochum,31,D,CB,Ukraine
131,Jae-sung Lee,€ 36.346,€ 1.890.000,Jun 30 2026,Mainz,31,F,AM,South Korea
132,Silvan Widmer,€ 36.346,€ 1.890.000,Jun 30 2026,Mainz,31,D,RB,Switzerland
133,Ko Itakura,€ 36.346,€ 1.890.000,Jun 30 2026,Monchengladbach,27,D,CB,Japan
134,Paul Wanner,€ 36.346,€ 1.890.000,Jun 30 2025,Heidenheim,18,F,AM,Germany
135,Adam Hlozek,€ 36.154,€ 1.880.000,Jun 30 2027,Bayer Leverkusen,21,F,SS,Czech Republic
136,Dominik Kohr,€ 34.615,€ 1.800.000,Jun 30 2026,Mainz,30,M,DM,Germany
137,Jordan Siebatcheu,€ 34.615,€ 1.800.000,Jun 30 2026,Union Berlin,28,F,CF,United States
138,Ridle Baku,€ 34.615,€ 1.800.000,Jun 30 2025,Wolfsburg,26,D,RB,Germany
139,Aleksandar Pavlovic,€ 34.615,€ 1.800.000,Jun 30 2029,Bayern Munich,20,M,DM,Germany
140,Nathan Tella,€ 34.615,€ 1.800.000,Jun 30 2028,Bayer Leverkusen,24,F,RW,Nigeria
141,Stefan Bell,€ 34.615,€ 1.800.000,Jun 30 2025,Mainz,32,D,CB,Germany
142,El Chadaille Bitshiabu,€ 34.615,€ 1.800.000,Jun 30 2028,Leipzig,19,D,CB,France
143,Jacob Bruun Larsen,€ 34.615,€ 1.800.000,Jun 30 2025,Hoffenheim,25,F,LW,Denmark
144,Karim Onisiwo,€ 32.692,€ 1.700.000,Jun 30 2026,Mainz,32,F,CF,Austria
145,Rogério,€ 32.692,€ 1.700.000,Jun 30 2027,Wolfsburg,26,D,LB,Brazil
146,Nadiem Amiri,€ 32.692,€ 1.700.000,Jun 30 2028,Mainz,27,M,CM,Germany
147,Anthony Caci,€ 32.308,€ 1.680.000,Jun 30 2026,Mainz,27,D,LB,France
148,Odilon Kossounou,€ 31.346,€ 1.630.000,Jun 30 2026,Bayer Leverkusen,23,D,CB,Cote d'Ivoire
149,Ilaix Moriba,€ 31.154,€ 1.620.000,Jun 30 2026,Leipzig,21,M,CM,Guinea
150,Omar Marmoush,€ 30.769,€ 1.600.000,Jun 30 2027,Eintracht Frankfurt,25,F,CF,Egypt
151,Vaclav Cerny,€ 30.769,€ 1.600.000,Jun 30 2027,Wolfsburg,26,F,RW,Czech Republic
152,Dawid Kownacki,€ 30.769,€ 1.600.000,Jun 30 2026,Werder Bremen,27,F,CF,Poland
153,Josip Juranovic,€ 30.769,€ 1.600.000,Jun 30 2027,Union Berlin,28,D,RB,Croatia
154,Robert Andrich,€ 30.769,€ 1.600.000,Jun 30 2026,Bayer Leverkusen,29,M,DM,Germany
155,Alexander Nübel,€ 28.846,€ 1.500.000,Jun 30 2029,Bayern Munich,27,K,GK,Germany
156,Kevin Akpoguma,€ 28.846,€ 1.500.000,Jun 30 2026,Hoffenheim,29,D,CB,Nigeria
157,Felix Uduokhai,€ 28.846,€ 1.500.000,Jun 30 2025,Augsburg,26,D,CB,Germany
158,Tuta,€ 28.846,€ 1.500.000,Jun 30 2026,Eintracht Frankfurt,24,D,CB,Brazil
159,Arijon Ibrahimovic,€ 28.846,€ 1.500.000,Jun 30 2027,Bayern Munich,18,F,LW,Germany
160,Tiago Tomás,€ 28.846,€ 1.500.000,Jun 30 2027,Wolfsburg,22,F,CF,Portugal
161,Daniel Peretz,€ 28.846,€ 1.500.000,Jun 30 2028,Bayern Munich,23,K,GK,Israel
162,Robin Zentner,€ 28.846,€ 1.500.000,Jun 30 2025,Mainz,29,K,GK,Germany
163,Jérôme Roussillon,€ 28.846,€ 1.500.000,Jun 30 2025,Union Berlin,31,D,LB,Guadeloupe
164,Niklas Stark,€ 27.692,€ 1.440.000,Jun 30 2026,Werder Bremen,29,D,CB,Germany
165,Moritz Jenz,€ 26.923,€ 1.400.000,Jun 30 2027,Wolfsburg,25,D,CB,Germany
166,Tom Krauß,€ 26.923,€ 1.400.000,Jun 30 2027,Mainz,23,M,CM,Germany
167,Elvis Rexhbecaj,€ 26.538,€ 1.380.000,Jun 30 2026,Augsburg,26,M,CM,Germany
168,Bartol Franjic,€ 25.962,€ 1.350.000,Jun 30 2027,Wolfsburg,24,M,DM,Croatia
169,Angelo Stiller,€ 25.000,€ 1.300.000,Jun 30 2027,Stuttgart,23,M,DM,Germany
170,Kevin Behrens,€ 25.000,€ 1.300.000,Jun 30 2025,Wolfsburg,33,F,CF,Germany
171,Franck Honorat,€ 24.038,€ 1.250.000,Jun 30 2028,Monchengladbach,27,F,RW,France
172,Jeffrey Gouweleeuw,€ 23.654,€ 1.230.000,Jun 30 2025,Augsburg,32,D,CB,Netherlands
173,Arne Maier,€ 23.654,€ 1.230.000,Jun 30 2026,Augsburg,25,M,CM,Germany
174,Stanley Nsoki,€ 23.077,€ 1.200.000,Jun 30 2027,Hoffenheim,25,D,CB,France
175,Timothy Chandler,€ 23.077,€ 1.200.000,Jun 30 2025,Eintracht Frankfurt,34,D,RB,United States
